#
36.994,27.370,34.041,39.788,0.0,12.727,8.3222,17.273,20.633,6.9853,15.316,9.3965,35.133,42.355,8.3854,14.980,34.706,41.754,9.0328,19.243,9.7778,19.804,21.840,0.0,19.427
42.269,38.149,18.180,1.6590,12.213,0.0,20.473,18.575,37.520,29.257,17.409,41.073,27.353,0.0,35.505,31.491,36.003,7.4721,1.9397,28.696,32.112,0.0857,1.1859,0.0730,67.018
24.929,0.0,31.901,31.010,15.579,15.627,0.0,20.544,26.574,21.445,1.8985,27.289,30.757,16.223,31.340,1.4781,16.229,9.2095,24.446,4.6277,0.0284,0.0147,0.0,0.0,0.0
31.732,9.7660,15.970,30.149,5.4771,35.423,15.392,41.302,13.692,11.881,17.787,1.4651,35.538,2.7395,37.770,15.233,27.126,20.463,7.0914,0.0,0.2541,0.0,0.7576,0.1088,7.0214
23.816,8.0709,2.0934,9.5677,13.806,28.414,5.4163,2.5738,32.123,23.453,9.2031,15.060,11.192,27.597,40.150,17.558,37.029,32.760,0.0,0.0,0.0,0.0,0.0,0.0,13.524
5.9340,6.2952,6.6914,32.309,37.916,18.449,31.048,2.9564,10.111,40.708,24.071,31.711,30.015,32.990,16.048,36.506,1.4031,0.0,0.2563,0.0,0.0,0.1935,0.4158,0.0,29.228
7.1863,14.637,30.844,17.316,0.5502,32.113,12.292,20.332,28.903,0.0077,29.280,27.365,15.422,18.642,34.422,31.374,0.0,0.6029,0.0,0.0,0.7200,0.0,0.2641,0.0,41.490
15.105,18.336,9.8755,39.827,25.248,2.0453,40.115,34.300,33.769,108.55,29.630,0.9649,8.5450,0.0,5.5235,0.0,0.0286,0.0,0.0,0.1903,0.0,0.1358,0.0,0.5666,10.031
26.560,2.1531,31.667,106.45,30.780,0.0,20.731,20.203,0.0,35.789,8.7367,10.741,25.796,16.951,22.757,0.0100,0.2781,0.0,0.2127,0.0517,0.0,0.0,1.1047,0.0,12.687
15.709,29.284,19.561,13.059,0.0,22.472,43.586,28.377,92.598,31.910,4.5057,27.388,33.091,23.712,0.1438,0.0,0.0,0.1077,0.0,0.0,0.0,0.1747,0.0,0.0,41.103
18.950,9.8514,32.900,1.7428,38.513,0.4425,8.7641,33.110,0.0,4.4827,34.952,32.360,18.778,0.0,0.0,0.0815,0.1900,0.0891,0.0,0.1490,0.5251,0.0,0.2500,29.512,42.605
26.380,33.211,0.9624,31.930,14.507,89.943,0.6598,6.7630,25.645,10.527,33.304,15.808,9.6995,0.1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.671,0.0,14.616,34.535
31.096,10.072,0.4767,21.412,0.7858,0.0,0.0663,0.0,14.042,26.930,31.776,10.087,0.0,0.1015,0.0,0.0,0.2725,0.0,0.0,0.5310,15.681,22.052,35.730,23.877,16.267
23.504,35.400,0.0,0.1636,0.0,1.0193,0.0,0.0,9.3346,28.836,17.580,0.0,0.0670,0.1757,0.0,0.0207,0.0,0.0,0.0,21.878,14.908,35.784,25.612,16.222,43.316
39.072,0.3320,0.0,0.0,0.0,0.0594,0.0,0.2413,0.0166,26.879,25.493,0.0,0.0859,0.1512,0.0,0.0855,0.0,0.0,28.988,41.674,4.2262,3.7651,35.933,44.093,21.532
0.0,0.1612,0.0,0.0,0.4694,0.0,0.0908,0.0494,0.0,10.213,6.1368,0.0042,0.0,0.0,0.4688,0.0,0.0106,7.1978,0.0,26.123,18.359,35.623,2.0520,7.2111,4.5840
